Year,Month,Day,Hour,Temperature [C],Rain [mm],Humidity [rel%],Pressure [mbar],Cloud Cover [%],Wind Speed [kph],power_output
2008,7,1,0,16,0.1,82,1011,18,28,350
2008,7,1,1,15,0.0,80,1013,24,26,296
2008,7,1,2,13,0.0,78,1015,30,23,224
2008,7,1,3,11,0.0,76,1017,36,20,162
2008,7,1,4,11,0.0,72,1016,34,19,143
2008,7,1,5,11,0.0,67,1016,33,19,143
2008,7,1,6,11,0.0,62,1015,32,18,126
2008,7,1,7,12,0.0,60,1015,21,18,126
2008,7,1,8,14,0.0,57,1015,11,17,110
2008,7,1,9,15,0.0,55,1015,0,17,110
2008,7,1,10,17,0.0,53,1015,0,14,68
2008,7,1,11,19,0.0,52,1014,0,11,36
2008,7,1,12,21,0.0,51,1013,0,8,14
2008,7,1,13,21,0.0,54,1013,0,7,9
2008,7,1,14,21,0.0,58,1012,0,6,5
2008,7,1,15,21,0.0,62,1011,0,5,2
2008,7,1,16,19,0.0,62,1011,0,9,20
2008,7,1,17,16,0.0,62,1011,0,12,45
2008,7,1,18,14,0.0,62,1011,0,16,95
2008,7,1,19,14,0.0,65,1012,0,20,162
2008,7,1,20,13,0.0,69,1012,0,24,247
2008,7,1,21,13,0.0,72,1013,0,28,350
2008,7,1,22,14,0.0,76,1013,2,29,379
2008,7,1,23,14,0.0,79,1013,4,30,408
2008,7,2,0,14,0.0,83,1013,6,30,408
2008,7,2,1,14,0.0,86,1013,34,30,408
2008,7,2,2,14,0.0,88,1013,63,30,408
2008,7,2,3,14,0.0,91,1013,91,29,379
2008,7,2,4,14,0.1,91,1013,94,29,379
2008,7,2,5,14,0.1,91,1013,97,28,350
2008,7,2,6,14,0.2,90,1014,100,28,350
2008,7,2,7,15,0.2,89,1014,99,28,350
2008,7,2,8,16,0.1,87,1014,99,28,350
2008,7,2,9,16,0.1,86,1014,98,28,350
2008,7,2,10,16,0.1,83,1014,85,27,323
2008,7,2,11,17,0.1,80,1013,71,26,296
2008,7,2,12,17,0.1,76,1013,58,26,296
2008,7,2,13,17,0.1,77,1013,45,24,247
2008,7,2,14,17,0.1,77,1013,31,23,224
2008,7,2,15,17,0.1,77,1012,18,22,202
2008,7,2,16,17,0.1,80,1012,18,22,202
2008,7,2,17,16,0.1,82,1012,18,22,202
2008,7,2,18,16,0.1,85,1012,17,22,202
2008,7,2,19,16,0.1,85,1012,18,23,224
2008,7,2,20,15,0.0,84,1012,18,23,224
2008,7,2,21,15,0.0,84,1012,18,24,247
2008,7,2,22,15,0.0,83,1011,23,25,271
2008,7,2,23,14,0.0,83,1011,28,25,271
2008,7,3,0,14,0.0,83,1011,33,26,296
2008,7,3,1,14,0.0,84,1011,41,27,323
2008,7,3,2,14,0.0,84,1010,48,29,379
2008,7,3,3,13,0.0,85,1010,55,30,408
2008,7,3,4,14,0.0,85,1010,50,31,439
2008,7,3,5,14,0.0,85,1009,44,33,504
2008,7,3,6,14,0.0,84,1009,39,34,538
2008,7,3,7,15,0.0,80,1009,44,37,648
2008,7,3,8,15,0.0,77,1009,50,39,726
2008,7,3,9,16,0.0,73,1009,55,42,852
2008,7,3,10,16,0.7,75,1008,70,42,852
2008,7,3,11,16,1.5,77,1008,85,43,896
2008,7,3,12,17,2.2,80,1007,100,43,896
2008,7,3,13,17,3.7,83,1007,97,40,767
2008,7,3,14,17,5.3,87,1007,95,37,648
2008,7,3,15,16,6.8,91,1007,92,34,538
2008,7,3,16,16,7.7,90,1007,77,34,538
2008,7,3,17,16,8.7,89,1008,62,33,504
2008,7,3,18,15,9.6,89,1008,47,33,504
2008,7,3,19,15,6.5,88,1008,42,34,538
2008,7,3,20,15,3.4,88,1008,37,34,538
2008,7,3,21,15,0.3,87,1008,33,35,574
2008,7,3,22,14,0.3,87,1008,37,36,610
2008,7,3,23,14,0.3,86,1008,42,37,648
2008,7,4,0,13,0.3,86,1008,46,38,686
2008,7,4,1,13,0.3,86,1008,62,39,726
2008,7,4,2,13,0.2,86,1008,78,40,767
2008,7,4,3,13,0.2,86,1008,94,40,767
2008,7,4,4,13,0.6,86,1008,96,41,809
2008,7,4,5,13,1.1,86,1008,98,42,852
2008,7,4,6,13,1.5,86,1008,100,42,852
2008,7,4,7,14,1.6,86,1008,100,43,896
