Wind Speed [kph],power_output
0,0
1,0
2,0
3,0
4,1
5,2
6,5
7,9
8,14
9,20
10,27
11,36
12,45
13,56
14,68
15,81
16,95
17,110
18,126
19,143
20,162
21,182
22,202
23,224
24,247
25,271
26,296
27,323
28,350
29,379
30,408
31,439
32,471
33,504
34,538
35,574
36,610
37,648
38,686
39,726
40,767
41,809
42,852
43,896
44,942
45,961
46,962
47,962
48,963
49,964
50,964
51,965
52,966
53,966
54,967
55,968
56,968
57,969
58,970
59,970
60,971
61,972
62,973
63,973
64,974
65,975
66,975
67,976
68,977
69,977
70,978
71,979
72,979
73,980
74,981
75,981
76,982
77,983
78,984
79,984
80,985
81,986
82,986
83,987
84,988
85,988
86,989
87,990
88,990
89,991
90,992
91,992
92,993
93,994
94,995
95,995
96,996
97,997
98,997
99,998
100,999
101,999
102,1000
